Species,Code,Depth,Period,Days,Biomass,mass,mass_change
Laminaria ochroleuca,LO_12,3m,T5,26,21,63.63636364,36.36363636
Laminaria hyperborea,LH_13,0.5m,T5,26,49,108.8888889,-8.888888889
Laminaria ochroleuca,LO_14,0.5m,T5,26,28,82.35294118,17.64705882
Laminaria hyperborea,LH_15,0.5m,T5,26,58,107.4074074,-7.407407407
Laminaria ochroleuca,LO_16,0.5m,T5,26,43,116.2162162,-16.21621622
Laminaria hyperborea,LH_17,1.5m,T5,26,41,110.8108108,-10.81081081
Laminaria ochroleuca,LO_18,1.5m,T5,26,39,114.7058824,-14.70588235
Laminaria hyperborea,LH_19,1.5m,T5,26,48,102.1276596,-2.127659574
Laminaria ochroleuca,LO_20,1.5m,T5,26,45,128.5714286,-28.57142857
Laminaria hyperborea,LH_21,3m,T5,26,55,103.7735849,-3.773584906
Laminaria ochroleuca,LO_22,3m,T5,26,35,94.59459459,5.405405405
Laminaria hyperborea,LH_23,3m,T5,26,38,100,0
Laminaria ochroleuca,LO_24,3m,T5,26,21,77.77777778,22.22222222
Laminaria hyperborea,LH_25,0.5m,T5,26,51,108.5106383,-8.510638298
Laminaria ochroleuca,LO_26,0.5m,T5,26,40,88.88888889,11.11111111
Laminaria hyperborea,LH_27,0.5m,T5,26,57,103.6363636,-3.636363636
Laminaria ochroleuca,LO_28,0.5m,T5,26,57,121.2765957,-21.27659574
Laminaria hyperborea,LH_29,1.5m,T5,26,45,104.6511628,-4.651162791
Laminaria ochroleuca,LO_30,1.5m,T5,26,27,117.3913043,-17.39130435
Laminaria hyperborea,LH_31,1.5m,T5,26,53,101.9230769,-1.923076923
Laminaria ochroleuca,LO_32,1.5m,T5,26,21,84,16
Laminaria hyperborea,LH_33,3m,T5,26,34,85,15
Laminaria ochroleuca,LO_34,3m,T5,26,25,67.56756757,32.43243243
Laminaria hyperborea,LH_35,3m,T5,26,52,98.11320755,1.886792453
Laminaria ochroleuca,LO_36,3m,T5,26,20,44.44444444,55.55555556
Laminaria hyperborea,LH_1,0.5m,T6,33,37,105.7142857,-5.714285714
Laminaria ochroleuca,LO_2,0.5m,T6,33,38,118.75,-18.75
Laminaria hyperborea,LH_3,0.5m,T6,33,39,100,0
Laminaria ochroleuca,LO_4,0.5m,T6,33,41,113.8888889,-13.88888889
Laminaria hyperborea,LH_5,1.5m,T6,33,43,102.3809524,-2.380952381
Laminaria ochroleuca,LO_6,1.5m,T6,33,21,56.75675676,43.24324324
Laminaria hyperborea,LH_7,1.5m,T6,33,33,103.125,-3.125
Laminaria ochroleuca,LO_8,1.5m,T6,33,39,84.7826087,15.2173913
Laminaria hyperborea,LH_9,3m,T6,33,26,56.52173913,43.47826087
Laminaria ochroleuca,LO_10,3m,T6,33,36,102.8571429,-2.857142857
Laminaria hyperborea,LH_11,3m,T6,33,23,56.09756098,43.90243902
Laminaria ochroleuca,LO_12,3m,T6,33,16,48.48484848,51.51515152
Laminaria hyperborea,LH_13,0.5m,T6,33,49,108.8888889,-8.888888889
Laminaria ochroleuca,LO_14,0.5m,T6,33,26,76.47058824,23.52941176
Laminaria hyperborea,LH_15,0.5m,T6,33,58,107.4074074,-7.407407407
Laminaria ochroleuca,LO_16,0.5m,T6,33,42,113.5135135,-13.51351351
Laminaria hyperborea,LH_17,1.5m,T6,33,37,100,0
Laminaria ochroleuca,LO_18,1.5m,T6,33,38,111.7647059,-11.76470588
Laminaria hyperborea,LH_19,1.5m,T6,33,50,106.3829787,-6.382978723
Laminaria ochroleuca,LO_20,1.5m,T6,33,45,128.5714286,-28.57142857
Laminaria hyperborea,LH_21,3m,T6,33,53,100,0
Laminaria ochroleuca,LO_22,3m,T6,33,27,72.97297297,27.02702703
Laminaria hyperborea,LH_23,3m,T6,33,38,100,0
Laminaria ochroleuca,LO_24,3m,T6,33,20,74.07407407,25.92592593
Laminaria hyperborea,LH_25,0.5m,T6,33,53,112.7659574,-12.76595745
Laminaria ochroleuca,LO_26,0.5m,T6,33,35,77.77777778,22.22222222
Laminaria hyperborea,LH_27,0.5m,T6,33,56,101.8181818,-1.818181818
Laminaria ochroleuca,LO_28,0.5m,T6,33,54,114.893617,-14.89361702
Laminaria hyperborea,LH_29,1.5m,T6,33,46,106.9767442,-6.976744186
Laminaria ochroleuca,LO_30,1.5m,T6,33,17,73.91304348,26.08695652
Laminaria hyperborea,LH_31,1.5m,T6,33,54,103.8461538,-3.846153846
Laminaria ochroleuca,LO_32,1.5m,T6,33,12,48,52
Laminaria hyperborea,LH_33,3m,T6,33,35,87.5,12.5
Laminaria ochroleuca,LO_34,3m,T6,33,25,67.56756757,32.43243243
Laminaria hyperborea,LH_35,3m,T6,33,53,100,0
Laminaria ochroleuca,LO_36,3m,T6,33,9,20,80
Laminaria hyperborea,LH_1,0.5m,T7,40,37,105.7142857,-5.714285714
Laminaria ochroleuca,LO_2,0.5m,T7,40,38,118.75,-18.75
Laminaria hyperborea,LH_3,0.5m,T7,40,41,105.1282051,-5.128205128
Laminaria ochroleuca,LO_4,0.5m,T7,40,31,86.11111111,13.88888889
Laminaria hyperborea,LH_5,1.5m,T7,40,46,109.5238095,-9.523809524
Laminaria ochroleuca,LO_6,1.5m,T7,40,16,43.24324324,56.75675676
Laminaria hyperborea,LH_7,1.5m,T7,40,34,106.25,-6.25
Laminaria ochroleuca,LO_8,1.5m,T7,40,30,65.2173913,34.7826087
Laminaria hyperborea,LH_9,3m,T7,40,26,56.52173913,43.47826087
Laminaria ochroleuca,LO_10,3m,T7,40,30,85.71428571,14.28571429
Laminaria hyperborea,LH_11,3m,T7,40,21,51.2195122,48.7804878
Laminaria ochroleuca,LO_12,3m,T7,40,13,39.39393939,60.60606061
Laminaria hyperborea,LH_13,0.5m,T7,40,52,115.5555556,-15.55555556
Laminaria ochroleuca,LO_14,0.5m,T7,40,29,85.29411765,14.70588235
Laminaria hyperborea,LH_15,0.5m,T7,40,60,111.1111111,-11.11111111
Laminaria ochroleuca,LO_16,0.5m,T7,40,35,94.59459459,5.405405405
Laminaria hyperborea,LH_17,1.5m,T7,40,39,105.4054054,-5.405405405
Laminaria ochroleuca,LO_18,1.5m,T7,40,33,97.05882353,2.941176471
Laminaria hyperborea,LH_19,1.5m,T7,40,53,112.7659574,-12.76595745
Laminaria ochroleuca,LO_20,1.5m,T7,40,34,97.14285714,2.857142857
Laminaria hyperborea,LH_21,3m,T7,40,55,103.7735849,-3.773584906
Laminaria ochroleuca,LO_22,3m,T7,40,15,40.54054054,59.45945946
Laminaria hyperborea,LH_23,3m,T7,40,40,105.2631579,-5.263157895
Laminaria ochroleuca,LO_24,3m,T7,40,20,74.07407407,25.92592593
Laminaria hyperborea,LH_25,0.5m,T7,40,52,110.6382979,-10.63829787
Laminaria ochroleuca,LO_26,0.5m,T7,40,22,48.88888889,51.11111111
Laminaria hyperborea,LH_27,0.5m,T7,40,57,103.6363636,-3.636363636
Laminaria ochroleuca,LO_28,0.5m,T7,40,48,102.1276596,-2.127659574
Laminaria hyperborea,LH_29,1.5m,T7,40,46,106.9767442,-6.976744186
Laminaria ochroleuca,LO_30,1.5m,T7,40,11,47.82608696,52.17391304
Laminaria hyperborea,LH_31,1.5m,T7,40,56,107.6923077,-7.692307692
Laminaria ochroleuca,LO_32,1.5m,T7,40,7,28,72
Laminaria hyperborea,LH_33,3m,T7,40,36,90,10
Laminaria ochroleuca,LO_34,3m,T7,40,22,59.45945946,40.54054054
Laminaria hyperborea,LH_35,3m,T7,40,54,101.8867925,-1.886792453
Laminaria ochroleuca,LO_36,3m,T7,40,0,0,100
